id,title,city,company,company_id,experience,employment,schedule,salary_from,salary_to,currency,skills,requirement,responsibility,url,published_at
131353860,Consultant/Консультант,Астана,Dasco Consulting Group,4001582,От 3 до 6 лет,Полная занятость,Полный день,500000,500000,KZT,"Аналитические исследования, Навыки презентации, Деловая коммуникация, Бизнес-анализ, Проведение презентаций, Работа с большим объемом информации, Анализ данных, MS PowerPoint, Английский язык, MS Excel, SQL, Power BI, Tableau",...and data analysis. - High-quality presentation skills—both visual and substantive—with an emphasis on clearly communicating complex data. -,"Research of the market, competitive environment and industry trends. -Work with internal and external data source for the preparation of...",https://hh.ru/vacancy/131353860,2026-03-18T16:44:46+0300
131350520,Аналитик данных (Product / Data Analyst) ОФ IQanat,Астана,BI Group,11963936,От 3 до 6 лет,Полная занятость,Полный день,,,,"Сбор и анализ информации, Аналитическое мышление, Работа с базами данных, Статистический анализ, Power BI, SQL, Python, MS Excel, Git, HTML, CSS, Визуализация данных","Опыт и профиль: Желателен опыт работы в аналитике с совмещением нескольких ролей: data-аналитика, бизнес-аналитика и системного аналитика.","Требования к кандидату: Аналитик данных (с элементами системного и бизнес-анализа). -Использование сложных формул, сводных таблиц, анализ и подготовка данных.",https://hh.ru/vacancy/131350520,2026-03-18T15:35:58+0300
131324097,Продуктовый аналитик,Астана,BI Group,11963936,От 3 до 6 лет,Полная занятость,Полный день,,,,"Power BI, Python, Tableau, DataLens",Опыт в аналитике данных или продуктовой аналитике от 1 года. Умение видеть за цифрами поведение и проблемы пользователей.,"...data-driven решений. Анализ продуктовых и образовательных метрик (урок, учитель, класс, школа). Проработка инсайтов на основе данных (видеоаналитика, речевая аналитика...",https://hh.ru/vacancy/131324097,2026-03-18T08:19:50+0300
131317501,Руководитель (директор) отдела исследований,Астана,Data Hunters Research,3742909,Более 6 лет,Полная занятость,Полный день,1400000,2900000,KZT,"B2C исследования, Market Research, Исследовательский анализ данных, Маркетинговая стратегия, Аналитические исследования, Стратегия Развития, Анализ рынка, рыночные исследования, Прогнозирование спроса, Деловая коммуникация, Анализ конкурентной среды, Стратегический анализ внешней среды, Управление проектами, Проектный менеджмент, переговоры с первыми лицами компаний, Разработка стратегии развития, Организаторские навыки, Анализ бизнес показателей, Планирование, Системный подход, Стратегический анализ, Формирование бюджета, Инвестиционная деятельность, B2G продажи",Опыт в работе на руководящей позиции в агентствах не менее 6 лет. Опыт руководства и управления коллективом. Развитые коммуникативные и...,"Координация работы с внешними подрядчиками. Оптимизация затрат и расходных статей, аналитика по выполненным проектам. Создание и обновление регламентов и инструкций...",https://hh.ru/vacancy/131317501,2026-03-17T18:37:11+0300
131310164,Data engineer (junior),Астана,Казахтелеком,125648,От 1 года до 3 лет,Полная занятость,Полный день,,,,,"Уверенное владение Python 3.10+(ООП, паттерны). Отличное знание SQL (JOINs, оконные функции, CTE, агрегаты). Опыт работы с PostgreSQL...",...существующих дата-процессов. Работа с инструментами оркестрации (Airflow / Luigi) под руководством более опытных коллег. Взаимодействие с командой аналитиков и разработчиков.,https://hh.ru/vacancy/131310164,2026-03-17T15:37:57+0300
131281788,Staff Data Engineer,Астана,ТС25,12510970,Более 6 лет,Частичная занятость,Удаленная работа,,,,"Data Engineering, Архитектура данных, SQL, Data Pipelines, ETL / ELT, Data Warehouse, Data Lake, Apache Kafka, Apache Spark, Apache Airflow, PostgreSQL, Clickhouse, Streaming Data, Distributed Systems, Microservices Architecture, Python, Docker, Kubernetes",...лет работы с данными. Опыт проектирования архитектуры данных. Опыт разработки data pipelines. Стек (желательно). Apache Kafka. Data Lake / Data Warehouse.,Архитектура data warehouse / data lake. Архитектура аналитических витрин данных. Подготовка данных для BI и AI. Качество данных (data quality).,https://hh.ru/vacancy/131281788,2026-03-17T08:27:44+0300
131276168,"Market Research Analyst (BPO Healthcare & Financial Services, USA Market)",Астана,Salcott,12493589,От 3 до 6 лет,Полная занятость,Удаленная работа,,,,"Английский язык, Business Development, Анализ рынка, Маркетинговые исследования, Анализ данных, Аналитическое мышление, Аналитические исследования, Data Analysis, Работа с большим объемом информации, Бизнес-анализ, Статистический анализ, Финансовый анализ, Project management","strong analytical skills and ability to synthesize large volumes of market data. -experience working with market research tools, databases, and...",support go-to-market strategies with data-driven insights and research. -fully remote work format / hybrid. -participation in international projects...,https://hh.ru/vacancy/131276168,2026-03-16T22:09:43+0300
131251144,Data Engineer,Астана,Брайт Эйдженси,11680442,Более 6 лет,Полная занятость,Полный день,,,,"Python, SQL, PostgreSQL, Spark, Apache Kafka, Apache Airflow","Опыт работы в сфере Data Engineering от 5 лет. Степень бакалавра в области компьютерных наук, инженерии. Продвинутые знания SQL и...","Предоставление чистых и хорошо структурированных наборов данных командам аналитики, ML/AI и операционным подразделениям для поддержки стратегических решений.",https://hh.ru/vacancy/131251144,2026-03-16T12:05:20+0300
131227432,Преподаватель Data Science,Астана,DataGroup Qazaqstan,10022772,От 1 года до 3 лет,Частичная занятость,Гибкий график,200000,800000,KZT,,"Опыт работы в Data Science, аналитике или ML-инжиниринге. Уверенное владение Python и библиотеками NumPy, Pandas. Знание базовой статистики и...","Обучение студентов основам Python, статистики и машинного обучения. Объяснение сложных тем простым и понятным языком. Разбор домашних заданий и предоставление...",https://hh.ru/vacancy/131227432,2026-03-15T15:32:10+0300
132069215,Водитель-экспедитор в Склад ОС и ТМЗ,Астана,"Small, ТМ (Скиф Трейд, ТОО)",648250,От 1 года до 3 лет,Полная занятость,Полный день,370000,,KZT,,"Опыт вождения (механическая коробка передач) от 5 лет. Водительское удостоверение категорий B, C. Ответственность, аккуратность, пунктуальность.",Оценка-чтобы понять сильные и слабые стороны и улучшить результаты работы. Карьерные возможности: развитие внутри направления и переход в другие...,https://hh.ru/vacancy/132069215,2026-04-13T10:51:58+0300
132069169,Старший Системный аналитик,Астана,BI Group,11963936,От 3 до 6 лет,Полная занятость,Удаленная работа,,,,,"Опыт моделирования (BPMN, UML). Навыки проектирования ER-диаграмм и логических моделей данных. Опыт работы с реляционными СУБД, уверенное знание SQL.",...проектных решений и трудоёмкости задач. Проверка документации на логическую целостность и соответствие внутренним стандартам. Проектирование API и структуры баз данных.,https://hh.ru/vacancy/132069169,2026-04-13T10:51:15+0300
131902825,РНР-разработчик,Астана,Match me,10362404,От 3 до 6 лет,Полная занятость,Полный день,500000,600000,KZT,,"...почта, мессенджеры, платёжные системы). Навыки интеграции с 1С, складскими и бухгалтерскими системами. Понимание принципов безопасной разработки и защиты данных.",...для интеграции и автоматизации нестандартных сценариев. Настройка кастомных отчётов и аналитики. Оптимизация производительности и структуры кода при больших объёмах данных.,https://hh.ru/vacancy/131902825,2026-04-13T10:36:35+0300
132066316,Маркетолог,Астана,Astana Construction Business Group,1797187,От 1 года до 3 лет,Полная занятость,Полный день,,,,"Маркетинговый анализ, Internet Marketing, Деловая переписка, Контекстная реклама, Английский язык, Анализ рынка, Планирование маркетинговых кампаний, Интернет-реклама, Маркетинговые коммуникации, Продвижение бренда, Маркетинговые исследования","Обязательные навыки: - Опыт работы с SEO-агентствами: контроль, анализ, оптимизация. - Аналитические способности: глубокий анализ эффективности продвижения всех каналов, ежемесячный детальный...","Таргетированная реклама (Meta, Instagram): контроль креатива и аналитики, совместная оптимизация рекламных кампаний с таргетологом на основе данных и показателей эффективности.",https://hh.ru/vacancy/132066316,2026-04-13T10:18:55+0300
131564225,Product Manager,Астана,Rsoftware,12671620,От 3 до 6 лет,Полная занятость,Удаленная работа,,,,,"Опыт работы продакт-менеджером на уровне middle+ (Saas, B2B). Глубокое понимание управления проектами (Jira, Agile, Scrum, Kanban).",Отвечать на вопросы пользователей и помогать им решать технические проблемы. Писать понятные инструкции по продукту (Help guide). Собирать и упорядочивать...,https://hh.ru/vacancy/131564225,2026-04-13T10:03:54+0300
131283733,Маркетолог-универсал,Астана,Аспан Карагай Машинери,12119232,От 3 до 6 лет,Полная занятость,Полный день,,,,"Продвижение бренда, SMM, Маркетинговое планирование, Навыки презентации, Планирование рекламных кампаний","Понимание инструментов digital‑маркетинга (SMM, контекстная реклама, аналитика). Навыки анализа данных и подготовки отчетов. Грамотная письменная и устная речь.","Разработка и реализация маркетинговой стратегии компании. Продвижение услуг сервиса вилочных погрузчиков, продажи вилочных погрузчиков и шин для спецтехники.",https://hh.ru/vacancy/131283733,2026-04-13T09:06:57+0300
132010257,Директор по управлению коммерческой недвижимостью в г.Караганда,Астана,БАЙБАЛИН,10259089,Более 6 лет,Полная занятость,Полный день,1000000,,KZT,"Коммерческая недвижимость, Оперативное планирование, Управление отношениями с клиентами, Формирование бюджета","Навыки продаж на высоком уровне (B2B, сложные сделки). Аналитика и принятие решений на основе данных. Инициативность и проактивность.",Построение и систематизация бизнес-процессов с нуля. Внедрение прозрачной системы аналитики по управлению коммерческой недвижимостью. Разработка и внедрение KPI для...,https://hh.ru/vacancy/132010257,2026-04-13T08:25:05+0300
132058484,Интегратор Bitrix24,Астана,ЧК ASAM HOLDING LIMITED,12334486,От 3 до 6 лет,Полная занятость,Полный день,,,,"Бизнес-анализ, Оптимизация бизнес-процессов, Битрикс24, Аналитика, Бизнес-планирование, Моделирование бизнес процессов, Анализ бизнес показателей, Разработка инструкций","Опыт работы с Bitrix24 от 4 лет. Понимание специфики оптовой торговли. Умение настраивать сложные воронки, права доступа, бизнес-процессы...","Интегрировать Bitrix24 со смежными системами (учет, телефония, склад, логистика, лояльность) для устранения ручного переноса данных и потери информации.",https://hh.ru/vacancy/132058484,2026-04-13T08:17:40+0300
131284506,IT-аналитик,Астана,Аналитический центр экономической политики в агропромышленном комплексе,1212241,От 3 до 6 лет,Полная занятость,Полный день,400000,600000,KZT,"знание и опыт работы с государственными информационными системами, Аналитическое мышление, Системный анализ, Информационные технологии, Документирование бизнес-требований","Опыт работы с нотациями UML, BPMN. Опыт работы с реляционными базами данных и знание SQL на уровне продвинутого пользователя.",,https://hh.ru/vacancy/131284506,2026-04-13T07:37:26+0300
